codigo_setor;codigo_ibge;municipio;situacao;area_km2;populacao;domicilios;latitude;longitude;ano_censo;fonte;aviso
510340310400016;5103403;Cuiabá;Urbana;0.0414;337;148;-15.563638;-56.045946;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400098;5103403;Cuiabá;Urbana;0.077;566;201;-15.563219;-56.043783;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400151;5103403;Cuiabá;Urbana;0.0567;548;229;-15.547021;-56.044073;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400011;5103403;Cuiabá;Urbana;0.0556;508;204;-15.561101;-56.038214;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400109;5103403;Cuiabá;Urbana;0.058;439;135;-15.553366;-56.048582;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400163;5103403;Cuiabá;Urbana;0.0632;319;149;-15.563115;-56.055107;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400102;5103403;Cuiabá;Urbana;0.0565;370;156;-15.557429;-56.043398;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400100;5103403;Cuiabá;Urbana;0.0642;400;147;-15.563462;-56.047131;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400028;5103403;Cuiabá;Urbana;0.066;488;224;-15.556005;-56.041153;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400030;5103403;Cuiabá;Urbana;0.0697;666;268;-15.557027;-56.039478;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400097;5103403;Cuiabá;Urbana;0.0552;386;170;-15.560728;-56.041542;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400024;5103403;Cuiabá;Urbana;0.0822;464;178;-15.560345;-56.052061;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400059;5103403;Cuiabá;Urbana;0.0861;632;287;-15.55389;-56.045971;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400012;5103403;Cuiabá;Urbana;0.0601;431;172;-15.563083;-56.038227;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400013;5103403;Cuiabá;Urbana;0.0897;527;205;-15.562437;-56.04237;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400016;5103403;Cuiabá;Urbana;0.1114;794;286;-15.547622;-56.080236;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400170;5103403;Cuiabá;Urbana;0.0869;321;120;-15.560662;-56.054392;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400027;5103403;Cuiabá;Urbana;0.0793;499;225;-15.558267;-56.044865;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400010;5103403;Cuiabá;Urbana;0.1062;760;289;-15.559178;-56.040508;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400153;5103403;Cuiabá;Urbana;0.1197;888;329;-15.548103;-56.041094;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400056;5103403;Cuiabá;Urbana;0.1162;594;211;-15.55629;-56.053261;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
